# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.14600E+02  -0.61338E-08  -0.11641E-07  -0.12267E-09  -0.12267E-09   0.78872E+00
   0.14700E+02  -0.51438E-08  -0.98229E-08  -0.10251E-09  -0.10251E-09   0.78336E+00
   0.14800E+02  -0.43146E-08  -0.82902E-08  -0.85686E-10  -0.85686E-10   0.77808E+00
   0.14900E+02  -0.36199E-08  -0.69980E-08  -0.71645E-10  -0.71645E-10   0.77287E+00
   0.15000E+02  -0.30377E-08  -0.59083E-08  -0.59921E-10  -0.59921E-10   0.76773E+00
   0.15100E+02  -0.25498E-08  -0.49892E-08  -0.50130E-10  -0.50130E-10   0.76265E+00
   0.15200E+02  -0.21407E-08  -0.42138E-08  -0.41950E-10  -0.41950E-10   0.75764E+00
   0.15300E+02  -0.17976E-08  -0.35595E-08  -0.35114E-10  -0.35114E-10   0.75270E+00
   0.15400E+02  -0.15098E-08  -0.30072E-08  -0.29400E-10  -0.29400E-10   0.74782E+00
   0.15500E+02  -0.12684E-08  -0.25410E-08  -0.24622E-10  -0.24622E-10   0.74300E+00
   0.15600E+02  -0.10657E-08  -0.21474E-08  -0.20626E-10  -0.20626E-10   0.73825E+00
   0.15700E+02  -0.89563E-09  -0.18150E-08  -0.17283E-10  -0.17283E-10   0.73355E+00
   0.15800E+02  -0.75281E-09  -0.15342E-08  -0.14485E-10  -0.14485E-10   0.72892E+00
   0.15900E+02  -0.63286E-09  -0.12970E-08  -0.12143E-10  -0.12143E-10   0.72434E+00
   0.16000E+02  -0.53211E-09  -0.10966E-08  -0.10182E-10  -0.10182E-10   0.71982E+00
   0.16100E+02  -0.44745E-09  -0.92715E-09  -0.85398E-11  -0.85398E-11   0.71535E+00
   0.16200E+02  -0.37631E-09  -0.78395E-09  -0.71640E-11  -0.71640E-11   0.71094E+00
   0.16300E+02  -0.31651E-09  -0.66289E-09  -0.60112E-11  -0.60112E-11   0.70658E+00
   0.16400E+02  -0.26624E-09  -0.56052E-09  -0.50450E-11  -0.50450E-11   0.70228E+00
   0.16500E+02  -0.22396E-09  -0.47394E-09  -0.42350E-11  -0.42350E-11   0.69803E+00
   0.16600E+02  -0.18840E-09  -0.40071E-09  -0.35557E-11  -0.35557E-11   0.69383E+00
   0.16700E+02  -0.15849E-09  -0.33876E-09  -0.29860E-11  -0.29860E-11   0.68968E+00
   0.16800E+02  -0.13332E-09  -0.28635E-09  -0.25081E-11  -0.25081E-11   0.68558E+00
